mean_load,std_load,mad_from_rmax,max_load,pct_days_above
10.974074074074075,5.089831877840221,3.6925925925925926,21,0.5666666666666667
11.018518518518519,5.080360687151228,3.6555555555555554,22,0.5222222222222223
11.018518518518519,4.865059174463478,3.5814814814814815,21,0.5777777777777777
10.988888888888889,5.076722395897396,3.6777777777777776,25,0.5407407407407407
10.944444444444445,4.94511386898214,3.5444444444444443,23,0.5703703703703704
11.051851851851852,4.899462861870458,3.651851851851852,22,0.5925925925925926
11.033333333333333,5.121824430987334,3.774074074074074,26,0.5740740740740741
11.022222222222222,5.08436873685342,3.725925925925926,21,0.5740740740740741
11.011111111111111,4.926586196236367,3.685185185185185,22,0.6
11.033333333333333,4.967814625782027,3.7222222222222223,19,0.6037037037037037
11.088888888888889,4.890574603299055,3.6444444444444444,22,0.5888888888888889
10.985185185185186,5.031477400870189,3.7333333333333334,22,0.5666666666666667
11.055555555555555,5.109276739228102,3.7074074074074073,24,0.5740740740740741
11.022222222222222,5.097512574636277,3.740740740740741,21,0.5777777777777777
11.022222222222222,5.096053822331465,3.6444444444444444,22,0.5555555555555556
11.011111111111111,4.904654744836489,3.551851851851852,23,0.5592592592592592
11.003703703703703,5.054717806682258,3.6481481481481484,21,0.5444444444444444
10.974074074074075,4.984294485547198,3.6777777777777776,21,0.5740740740740741
10.985185185185186,5.223602689573142,3.7925925925925927,24,0.5481481481481482
11.003703703703703,4.884158557924316,3.5592592592592593,21,0.5703703703703704
11.007407407407408,5.184329112470902,3.8296296296296295,23,0.5518518518518518
11.007407407407408,4.896696855393973,3.674074074074074,21,0.6259259259259259
11.055555555555555,5.3972892365381036,3.848148148148148,25,0.5222222222222223
11.022222222222222,5.015910250210429,3.6814814814814816,24,0.5814814814814815
11.018518518518519,4.834397894414001,3.537037037037037,22,0.6
11.018518518518519,4.873457207942669,3.640740740740741,19,0.5740740740740741
11.051851851851852,5.215530879704644,3.688888888888889,24,0.5333333333333333
11.02962962962963,5.090907034586916,3.725925925925926,22,0.5703703703703704
11.044444444444444,5.021687784323296,3.696296296296296,23,0.6185185185185185
11.022222222222222,4.983193563539113,3.577777777777778,21,0.5703703703703704
11.014814814814814,5.009263070385692,3.6666666666666665,21,0.5518518518518518
11.062962962962963,4.950284295703489,3.7074074074074073,23,0.5814814814814815
11.022222222222222,5.104071800701498,3.740740740740741,22,0.5555555555555556
11.066666666666666,4.864253955412991,3.6296296296296298,20,0.5962962962962963
11.018518518518519,4.97536959730303,3.685185185185185,24,0.5962962962962963
11.033333333333333,5.1853023629095665,3.6777777777777776,26,0.5740740740740741
11.033333333333333,4.9805196725019,3.662962962962963,24,0.5777777777777777
11.040740740740741,4.941498595689012,3.6703703703703705,19,0.5851851851851851
11.02962962962963,5.079941955498879,3.688888888888889,23,0.5592592592592592
11.025925925925925,5.342130549219251,3.848148148148148,29,0.5370370370370371
10.996296296296297,5.084050538174009,3.7,26,0.5851851851851851
11.022222222222222,5.06091762792866,3.7111111111111112,21,0.5703703703703704
10.992592592592592,4.974277771710261,3.585185185185185,23,0.5814814814814815
10.988888888888889,4.95742718178506,3.7074074074074073,23,0.5925925925925926
11.048148148148147,5.044181776274218,3.662962962962963,23,0.5666666666666667
10.974074074074075,5.069340204209696,3.6777777777777776,25,0.5962962962962963
11.088888888888889,5.015169059356635,3.674074074074074,23,0.5740740740740741
11.022222222222222,5.078516111856799,3.6814814814814816,22,0.5518518518518518
11.007407407407408,4.935263138856838,3.6296296296296298,22,0.5962962962962963
11.059259259259258,5.006706228245755,3.6148148148148147,26,0.5666666666666667
10.977777777777778,4.834766697687249,3.5407407407407407,21,0.5740740740740741
11.022222222222222,5.178546920056031,3.77037037037037,23,0.5814814814814815
11.077777777777778,5.035696614822061,3.7666666666666666,26,0.6148148148148148
11.074074074074074,5.027995424327441,3.6592592592592594,23,0.5555555555555556
11.07037037037037,4.912491839229283,3.6481481481481484,21,0.5777777777777777
11.066666666666666,5.025880972914434,3.7555555555555555,21,0.5666666666666667
11.014814814814814,4.98545868428538,3.696296296296296,22,0.6074074074074074
10.988888888888889,4.9559271962192435,3.596296296296296,23,0.5888888888888889
10.966666666666667,5.0751600044365075,3.7444444444444445,22,0.5518518518518518
10.996296296296297,5.06647127821696,3.6555555555555554,24,0.5888888888888889
11.025925925925925,5.041396852557424,3.7,21,0.5888888888888889
11.0,5.038144462820889,3.637037037037037,24,0.6037037037037037
11.022222222222222,5.145419396733135,3.762962962962963,23,0.5777777777777777
11.011111111111111,5.113931212007063,3.7444444444444445,21,0.5703703703703704
11.0,4.957064726864044,3.6666666666666665,19,0.5555555555555556
10.937037037037037,5.03885631593131,3.6037037037037036,22,0.5407407407407407
11.0,4.805511086551978,3.5925925925925926,20,0.6
11.040740740740741,5.001320216725773,3.6259259259259258,22,0.5851851851851851
11.022222222222222,5.015169059356636,3.6666666666666665,24,0.5851851851851851
11.062962962962963,4.989181466799974,3.6703703703703705,21,0.5481481481481482
10.985185185185186,4.90956911802724,3.5555555555555554,22,0.5925925925925926
11.003703703703703,5.069405388203735,3.6259259259259258,23,0.5740740740740741
10.996296296296297,5.070871806546178,3.6703703703703705,25,0.5740740740740741
11.003703703703703,4.9160220175399845,3.5444444444444443,22,0.5555555555555556
11.011111111111111,4.983603847721898,3.611111111111111,24,0.5962962962962963
11.003703703703703,4.954437872561501,3.596296296296296,21,0.5925925925925926
11.040740740740741,4.906013248251,3.5444444444444443,26,0.6
11.025925925925925,4.9015658368000325,3.6703703703703705,21,0.6037037037037037
11.025925925925925,5.072272654636034,3.7,23,0.5851851851851851
10.966666666666667,5.047248873355769,3.611111111111111,25,0.5666666666666667
10.962962962962964,5.13520889257393,3.6814814814814816,23,0.5592592592592592
11.059259259259258,5.20260581400848,3.651851851851852,25,0.562962962962963
11.011111111111111,5.161685651106877,3.811111111111111,20,0.5592592592592592
11.08148148148148,5.159251050588788,3.6148148148148147,27,0.562962962962963
11.003703703703703,5.031867330704897,3.640740740740741,24,0.5925925925925926
11.066666666666666,5.186055079368647,3.8666666666666667,22,0.5740740740740741
11.025925925925925,4.8818069505357675,3.5814814814814815,20,0.5740740740740741
11.0,5.022625389102447,3.6592592592592594,23,0.5814814814814815
11.018518518518519,4.868114681063186,3.6185185185185187,21,0.5888888888888889
11.037037037037036,5.10544196486609,3.740740740740741,21,0.5518518518518518
11.014814814814814,5.044022094272789,3.7185185185185183,21,0.5962962962962963
11.018518518518519,5.082555414775667,3.6481481481481484,22,0.5518518518518518
11.096296296296297,5.084233335594158,3.7111111111111112,22,0.5814814814814815
10.981481481481481,4.8205366926548745,3.5074074074074075,20,0.5851851851851851
11.025925925925925,4.964864848963195,3.714814814814815,21,0.6037037037037037
10.996296296296297,5.137874633378414,3.6777777777777776,27,0.5518518518518518
11.044444444444444,5.008344956863422,3.6814814814814816,22,0.562962962962963
11.040740740740741,4.999089824909748,3.6777777777777776,25,0.5962962962962963
11.022222222222222,5.198608144675219,3.762962962962963,24,0.5333333333333333
10.996296296296297,5.139321515218638,3.6185185185185187,26,0.5740740740740741
11.033333333333333,5.391270653241736,3.8851851851851853,26,0.5481481481481482
11.051851851851852,5.167554653142255,3.748148148148148,22,0.5222222222222223
11.02962962962963,4.976436282916644,3.6296296296296298,21,0.5777777777777777
11.018518518518519,4.942384554372405,3.6185185185185187,22,0.5814814814814815
11.02962962962963,5.117853785681018,3.725925925925926,24,0.5518518518518518
10.977777777777778,5.093864910594447,3.577777777777778,24,0.5703703703703704
11.037037037037036,4.8935241440917645,3.5481481481481483,21,0.5925925925925926
11.048148148148147,5.053753463237979,3.7,22,0.5555555555555556
11.02962962962963,5.018835512296709,3.7925925925925927,22,0.5925925925925926
11.033333333333333,4.858097903669263,3.5444444444444443,23,0.5888888888888889
11.014814814814814,5.060210238789121,3.674074074074074,21,0.5703703703703704
11.044444444444444,4.88053057428116,3.637037037037037,23,0.6037037037037037
11.037037037037036,5.063033763546957,3.7111111111111112,22,0.5296296296296297
11.040740740740741,5.165855821038905,3.8185185185185184,24,0.5666666666666667
11.007407407407408,5.178589459738046,3.814814814814815,23,0.5851851851851851
11.011111111111111,5.008901617632125,3.6555555555555554,23,0.562962962962963
11.02962962962963,5.053528695740504,3.6814814814814816,24,0.5814814814814815
10.974074074074075,4.861203102923755,3.5814814814814815,20,0.5888888888888889
11.0,5.066105753860028,3.7777777777777777,21,0.5703703703703704
11.07037037037037,4.925339594641054,3.6555555555555554,20,0.5777777777777777
10.992592592592592,5.204368048579486,3.7555555555555555,22,0.5444444444444444
11.003703703703703,5.080393208553628,3.6925925925925926,22,0.5740740740740741
